Area.name,Area.code,Area.type,date,Daily.lab.confirmed.cases,Cumulative.lab.confirmed.cases
Haringey,E09000014,Upper tier local authority,2020-01-30,0,0
Harrow,E09000015,Upper tier local authority,2020-01-30,0,0
Hartlepool,E06000001,Upper tier local authority,2020-01-30,0,0
Havering,E09000016,Upper tier local authority,2020-01-30,0,0
"Herefordshire, County of",E06000019,Upper tier local authority,2020-01-30,0,0
Hertfordshire,E10000015,Upper tier local authority,2020-01-30,0,0
Hillingdon,E09000017,Upper tier local authority,2020-01-30,0,0
Hounslow,E09000018,Upper tier local authority,2020-01-30,0,0
Isle of Wight,E06000046,Upper tier local authority,2020-01-30,0,0
Islington,E09000019,Upper tier local authority,2020-01-30,0,0
Kensington and Chelsea,E09000020,Upper tier local authority,2020-01-30,0,0
Kent,E10000016,Upper tier local authority,2020-01-30,0,0
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-01-30,0,0
Kingston upon Thames,E09000021,Upper tier local authority,2020-01-30,0,0
Kirklees,E08000034,Upper tier local authority,2020-01-30,0,0
Knowsley,E08000011,Upper tier local authority,2020-01-30,0,0
Lambeth,E09000022,Upper tier local authority,2020-01-30,0,0
Lancashire,E10000017,Upper tier local authority,2020-01-30,0,0
Leeds,E08000035,Upper tier local authority,2020-01-30,0,0
Leicester,E06000016,Upper tier local authority,2020-01-30,0,0
Leicestershire,E10000018,Upper tier local authority,2020-01-30,0,0
Lewisham,E09000023,Upper tier local authority,2020-01-30,0,0
Lincolnshire,E10000019,Upper tier local authority,2020-01-30,0,0
Liverpool,E08000012,Upper tier local authority,2020-01-30,0,0
Luton,E06000032,Upper tier local authority,2020-01-30,0,0
Manchester,E08000003,Upper tier local authority,2020-01-30,0,0
Medway,E06000035,Upper tier local authority,2020-01-30,0,0
Merton,E09000024,Upper tier local authority,2020-01-30,0,0
Middlesbrough,E06000002,Upper tier local authority,2020-01-30,0,0
Milton Keynes,E06000042,Upper tier local authority,2020-01-30,0,0
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-01-30,0,0
Newham,E09000025,Upper tier local authority,2020-01-30,0,0
Norfolk,E10000020,Upper tier local authority,2020-01-30,0,0
North East Lincolnshire,E06000012,Upper tier local authority,2020-01-30,0,0
North Lincolnshire,E06000013,Upper tier local authority,2020-01-30,0,0
North Somerset,E06000024,Upper tier local authority,2020-01-30,0,0
North Tyneside,E08000022,Upper tier local authority,2020-01-30,0,0
North Yorkshire,E10000023,Upper tier local authority,2020-01-30,0,0
Northamptonshire,E10000021,Upper tier local authority,2020-01-30,0,0
Northumberland,E06000057,Upper tier local authority,2020-01-30,0,0
Nottingham,E06000018,Upper tier local authority,2020-01-30,0,0
Nottinghamshire,E10000024,Upper tier local authority,2020-01-30,0,0
Oldham,E08000004,Upper tier local authority,2020-01-30,0,0
Oxfordshire,E10000025,Upper tier local authority,2020-01-30,0,0
Peterborough,E06000031,Upper tier local authority,2020-01-30,0,0
Plymouth,E06000026,Upper tier local authority,2020-01-30,0,0
Portsmouth,E06000044,Upper tier local authority,2020-01-30,0,0
Reading,E06000038,Upper tier local authority,2020-01-30,0,0
Redbridge,E09000026,Upper tier local authority,2020-01-30,0,0
Redcar and Cleveland,E06000003,Upper tier local authority,2020-01-30,0,0
Richmond upon Thames,E09000027,Upper tier local authority,2020-01-30,0,0
Rochdale,E08000005,Upper tier local authority,2020-01-30,0,0
Rotherham,E08000018,Upper tier local authority,2020-01-30,0,0
Rutland,E06000017,Upper tier local authority,2020-01-30,0,0
Salford,E08000006,Upper tier local authority,2020-01-30,0,0
Sandwell,E08000028,Upper tier local authority,2020-01-30,0,0
Sefton,E08000014,Upper tier local authority,2020-01-30,0,0
Sheffield,E08000019,Upper tier local authority,2020-01-30,0,0
Shropshire,E06000051,Upper tier local authority,2020-01-30,0,0
Slough,E06000039,Upper tier local authority,2020-01-30,0,0
Solihull,E08000029,Upper tier local authority,2020-01-30,0,0
Somerset,E10000027,Upper tier local authority,2020-01-30,0,0
South Gloucestershire,E06000025,Upper tier local authority,2020-01-30,0,0
South Tyneside,E08000023,Upper tier local authority,2020-01-30,0,0
Southampton,E06000045,Upper tier local authority,2020-01-30,0,0
Southend-on-Sea,E06000033,Upper tier local authority,2020-01-30,0,0
Southwark,E09000028,Upper tier local authority,2020-01-30,0,0
St. Helens,E08000013,Upper tier local authority,2020-01-30,0,0
Staffordshire,E10000028,Upper tier local authority,2020-01-30,0,0
Stockport,E08000007,Upper tier local authority,2020-01-30,0,0
Stockton-on-Tees,E06000004,Upper tier local authority,2020-01-30,0,0
Stoke-on-Trent,E06000021,Upper tier local authority,2020-01-30,0,0
Suffolk,E10000029,Upper tier local authority,2020-01-30,0,0
Sunderland,E08000024,Upper tier local authority,2020-01-30,0,0
Surrey,E10000030,Upper tier local authority,2020-01-30,0,0
Sutton,E09000029,Upper tier local authority,2020-01-30,0,0
Swindon,E06000030,Upper tier local authority,2020-01-30,0,0
Tameside,E08000008,Upper tier local authority,2020-01-30,0,0
Telford and Wrekin,E06000020,Upper tier local authority,2020-01-30,0,0
Thurrock,E06000034,Upper tier local authority,2020-01-30,0,0
Torbay,E06000027,Upper tier local authority,2020-01-30,0,0
Tower Hamlets,E09000030,Upper tier local authority,2020-01-30,0,0
Trafford,E08000009,Upper tier local authority,2020-01-30,0,0
Wakefield,E08000036,Upper tier local authority,2020-01-30,0,0
Walsall,E08000030,Upper tier local authority,2020-01-30,0,0
Waltham Forest,E09000031,Upper tier local authority,2020-01-30,0,0
Wandsworth,E09000032,Upper tier local authority,2020-01-30,0,0
Warrington,E06000007,Upper tier local authority,2020-01-30,0,0
Warwickshire,E10000031,Upper tier local authority,2020-01-30,0,0
West Berkshire,E06000037,Upper tier local authority,2020-01-30,0,0
West Sussex,E10000032,Upper tier local authority,2020-01-30,0,0
Westminster,E09000033,Upper tier local authority,2020-01-30,0,0
Wigan,E08000010,Upper tier local authority,2020-01-30,0,0
Wiltshire,E06000054,Upper tier local authority,2020-01-30,0,0
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-01-30,0,0
Wirral,E08000015,Upper tier local authority,2020-01-30,0,0
Wokingham,E06000041,Upper tier local authority,2020-01-30,0,0
Wolverhampton,E08000031,Upper tier local authority,2020-01-30,0,0
Worcestershire,E10000034,Upper tier local authority,2020-01-30,0,0
York,E06000014,Upper tier local authority,2020-01-30,1,1
Barking and Dagenham,E09000002,Upper tier local authority,2020-01-31,0,0
Barnet,E09000003,Upper tier local authority,2020-01-31,0,0
Barnsley,E08000016,Upper tier local authority,2020-01-31,0,0
Bath and North East Somerset,E06000022,Upper tier local authority,2020-01-31,0,0
Bedford,E06000055,Upper tier local authority,2020-01-31,0,0
Bexley,E09000004,Upper tier local authority,2020-01-31,0,0
Birmingham,E08000025,Upper tier local authority,2020-01-31,0,0
Blackburn with Darwen,E06000008,Upper tier local authority,2020-01-31,0,0
Blackpool,E06000009,Upper tier local authority,2020-01-31,0,0
Bolton,E08000001,Upper tier local authority,2020-01-31,0,0
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-01-31,0,0
Bracknell Forest,E06000036,Upper tier local authority,2020-01-31,0,0
Bradford,E08000032,Upper tier local authority,2020-01-31,0,0
Brent,E09000005,Upper tier local authority,2020-01-31,0,0
Brighton and Hove,E06000043,Upper tier local authority,2020-01-31,0,0
"Bristol, City of",E06000023,Upper tier local authority,2020-01-31,0,0
Bromley,E09000006,Upper tier local authority,2020-01-31,0,0
Buckinghamshire,E10000002,Upper tier local authority,2020-01-31,0,0
Bury,E08000002,Upper tier local authority,2020-01-31,0,0
Calderdale,E08000033,Upper tier local authority,2020-01-31,0,0
Cambridgeshire,E10000003,Upper tier local authority,2020-01-31,0,0
Camden,E09000007,Upper tier local authority,2020-01-31,0,0
Central Bedfordshire,E06000056,Upper tier local authority,2020-01-31,0,0
Cheshire East,E06000049,Upper tier local authority,2020-01-31,0,0
Cheshire West and Chester,E06000050,Upper tier local authority,2020-01-31,0,0
City of London,E09000001,Upper tier local authority,2020-01-31,0,0
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-01-31,0,0
County Durham,E06000047,Upper tier local authority,2020-01-31,0,0
Coventry,E08000026,Upper tier local authority,2020-01-31,0,0
Croydon,E09000008,Upper tier local authority,2020-01-31,0,0
Cumbria,E10000006,Upper tier local authority,2020-01-31,0,0
Darlington,E06000005,Upper tier local authority,2020-01-31,0,0
Derby,E06000015,Upper tier local authority,2020-01-31,0,0
Derbyshire,E10000007,Upper tier local authority,2020-01-31,0,0
Devon,E10000008,Upper tier local authority,2020-01-31,0,0
Doncaster,E08000017,Upper tier local authority,2020-01-31,0,0
Dorset,E06000059,Upper tier local authority,2020-01-31,0,0
Dudley,E08000027,Upper tier local authority,2020-01-31,0,0
Ealing,E09000009,Upper tier local authority,2020-01-31,0,0
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-01-31,0,0
East Sussex,E10000011,Upper tier local authority,2020-01-31,0,0
Enfield,E09000010,Upper tier local authority,2020-01-31,0,0
Essex,E10000012,Upper tier local authority,2020-01-31,0,0
Gateshead,E08000037,Upper tier local authority,2020-01-31,0,0
Gloucestershire,E10000013,Upper tier local authority,2020-01-31,0,0
Greenwich,E09000011,Upper tier local authority,2020-01-31,0,0
Hackney,E09000012,Upper tier local authority,2020-01-31,0,0
Halton,E06000006,Upper tier local authority,2020-01-31,0,0
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-01-31,0,0
Hampshire,E10000014,Upper tier local authority,2020-01-31,0,0
Haringey,E09000014,Upper tier local authority,2020-01-31,0,0
Harrow,E09000015,Upper tier local authority,2020-01-31,0,0
Hartlepool,E06000001,Upper tier local authority,2020-01-31,0,0
Havering,E09000016,Upper tier local authority,2020-01-31,0,0
"Herefordshire, County of",E06000019,Upper tier local authority,2020-01-31,0,0
Hertfordshire,E10000015,Upper tier local authority,2020-01-31,0,0
Hillingdon,E09000017,Upper tier local authority,2020-01-31,0,0
Hounslow,E09000018,Upper tier local authority,2020-01-31,0,0
Isle of Wight,E06000046,Upper tier local authority,2020-01-31,0,0
Islington,E09000019,Upper tier local authority,2020-01-31,0,0
Kensington and Chelsea,E09000020,Upper tier local authority,2020-01-31,0,0
Kent,E10000016,Upper tier local authority,2020-01-31,1,1
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-01-31,0,0
Kingston upon Thames,E09000021,Upper tier local authority,2020-01-31,0,0
Kirklees,E08000034,Upper tier local authority,2020-01-31,0,0
Knowsley,E08000011,Upper tier local authority,2020-01-31,0,0
Lambeth,E09000022,Upper tier local authority,2020-01-31,0,0
Lancashire,E10000017,Upper tier local authority,2020-01-31,0,0
Leeds,E08000035,Upper tier local authority,2020-01-31,0,0
Leicester,E06000016,Upper tier local authority,2020-01-31,0,0
Leicestershire,E10000018,Upper tier local authority,2020-01-31,0,0
Lewisham,E09000023,Upper tier local authority,2020-01-31,0,0
Lincolnshire,E10000019,Upper tier local authority,2020-01-31,0,0
Liverpool,E08000012,Upper tier local authority,2020-01-31,0,0
Luton,E06000032,Upper tier local authority,2020-01-31,0,0
Manchester,E08000003,Upper tier local authority,2020-01-31,0,0
Medway,E06000035,Upper tier local authority,2020-01-31,0,0
Merton,E09000024,Upper tier local authority,2020-01-31,0,0
Middlesbrough,E06000002,Upper tier local authority,2020-01-31,0,0
Milton Keynes,E06000042,Upper tier local authority,2020-01-31,0,0
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-01-31,0,0
Newham,E09000025,Upper tier local authority,2020-01-31,0,0
Norfolk,E10000020,Upper tier local authority,2020-01-31,0,0
North East Lincolnshire,E06000012,Upper tier local authority,2020-01-31,0,0
North Lincolnshire,E06000013,Upper tier local authority,2020-01-31,0,0
North Somerset,E06000024,Upper tier local authority,2020-01-31,0,0
North Tyneside,E08000022,Upper tier local authority,2020-01-31,0,0
North Yorkshire,E10000023,Upper tier local authority,2020-01-31,0,0
Northamptonshire,E10000021,Upper tier local authority,2020-01-31,0,0
Northumberland,E06000057,Upper tier local authority,2020-01-31,0,0
Nottingham,E06000018,Upper tier local authority,2020-01-31,0,0
Nottinghamshire,E10000024,Upper tier local authority,2020-01-31,0,0
Oldham,E08000004,Upper tier local authority,2020-01-31,0,0
Oxfordshire,E10000025,Upper tier local authority,2020-01-31,0,0
Peterborough,E06000031,Upper tier local authority,2020-01-31,0,0
Plymouth,E06000026,Upper tier local authority,2020-01-31,0,0
Portsmouth,E06000044,Upper tier local authority,2020-01-31,0,0
Reading,E06000038,Upper tier local authority,2020-01-31,0,0
Redbridge,E09000026,Upper tier local authority,2020-01-31,0,0
Redcar and Cleveland,E06000003,Upper tier local authority,2020-01-31,0,0
Richmond upon Thames,E09000027,Upper tier local authority,2020-01-31,0,0
Rochdale,E08000005,Upper tier local authority,2020-01-31,0,0
Rotherham,E08000018,Upper tier local authority,2020-01-31,0,0
Rutland,E06000017,Upper tier local authority,2020-01-31,0,0
Salford,E08000006,Upper tier local authority,2020-01-31,0,0
Sandwell,E08000028,Upper tier local authority,2020-01-31,0,0
Sefton,E08000014,Upper tier local authority,2020-01-31,0,0
Sheffield,E08000019,Upper tier local authority,2020-01-31,0,0
Shropshire,E06000051,Upper tier local authority,2020-01-31,0,0
Slough,E06000039,Upper tier local authority,2020-01-31,0,0
Solihull,E08000029,Upper tier local authority,2020-01-31,0,0
Somerset,E10000027,Upper tier local authority,2020-01-31,0,0
South Gloucestershire,E06000025,Upper tier local authority,2020-01-31,0,0
South Tyneside,E08000023,Upper tier local authority,2020-01-31,0,0
Southampton,E06000045,Upper tier local authority,2020-01-31,0,0
Southend-on-Sea,E06000033,Upper tier local authority,2020-01-31,0,0
Southwark,E09000028,Upper tier local authority,2020-01-31,0,0
St. Helens,E08000013,Upper tier local authority,2020-01-31,0,0
Staffordshire,E10000028,Upper tier local authority,2020-01-31,0,0
Stockport,E08000007,Upper tier local authority,2020-01-31,0,0
Stockton-on-Tees,E06000004,Upper tier local authority,2020-01-31,0,0
Stoke-on-Trent,E06000021,Upper tier local authority,2020-01-31,0,0
Suffolk,E10000029,Upper tier local authority,2020-01-31,0,0
Sunderland,E08000024,Upper tier local authority,2020-01-31,0,0
Surrey,E10000030,Upper tier local authority,2020-01-31,0,0
Sutton,E09000029,Upper tier local authority,2020-01-31,0,0
Swindon,E06000030,Upper tier local authority,2020-01-31,0,0
Tameside,E08000008,Upper tier local authority,2020-01-31,0,0
Telford and Wrekin,E06000020,Upper tier local authority,2020-01-31,0,0
Thurrock,E06000034,Upper tier local authority,2020-01-31,0,0
Torbay,E06000027,Upper tier local authority,2020-01-31,0,0
Tower Hamlets,E09000030,Upper tier local authority,2020-01-31,0,0
Trafford,E08000009,Upper tier local authority,2020-01-31,0,0
Wakefield,E08000036,Upper tier local authority,2020-01-31,0,0
Walsall,E08000030,Upper tier local authority,2020-01-31,0,0
Waltham Forest,E09000031,Upper tier local authority,2020-01-31,0,0
Wandsworth,E09000032,Upper tier local authority,2020-01-31,0,0
Warrington,E06000007,Upper tier local authority,2020-01-31,0,0
Warwickshire,E10000031,Upper tier local authority,2020-01-31,0,0
West Berkshire,E06000037,Upper tier local authority,2020-01-31,0,0
West Sussex,E10000032,Upper tier local authority,2020-01-31,0,0
Westminster,E09000033,Upper tier local authority,2020-01-31,0,0
Wigan,E08000010,Upper tier local authority,2020-01-31,0,0
Wiltshire,E06000054,Upper tier local authority,2020-01-31,0,0
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-01-31,0,0
Wirral,E08000015,Upper tier local authority,2020-01-31,0,0
Wokingham,E06000041,Upper tier local authority,2020-01-31,0,0
Wolverhampton,E08000031,Upper tier local authority,2020-01-31,0,0
Worcestershire,E10000034,Upper tier local authority,2020-01-31,0,0
York,E06000014,Upper tier local authority,2020-01-31,0,0
Barking and Dagenham,E09000002,Upper tier local authority,2020-02-03,0,0
Barnet,E09000003,Upper tier local authority,2020-02-03,0,0
Barnsley,E08000016,Upper tier local authority,2020-02-03,1,1
Bath and North East Somerset,E06000022,Upper tier local authority,2020-02-03,0,0
Bedford,E06000055,Upper tier local authority,2020-02-03,0,0
Bexley,E09000004,Upper tier local authority,2020-02-03,0,0
Birmingham,E08000025,Upper tier local authority,2020-02-03,0,0
Blackburn with Darwen,E06000008,Upper tier local authority,2020-02-03,0,0
Blackpool,E06000009,Upper tier local authority,2020-02-03,0,0
Bolton,E08000001,Upper tier local authority,2020-02-03,0,0
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-02-03,0,0
Bracknell Forest,E06000036,Upper tier local authority,2020-02-03,0,0
Bradford,E08000032,Upper tier local authority,2020-02-03,0,0
Brent,E09000005,Upper tier local authority,2020-02-03,0,0
Brighton and Hove,E06000043,Upper tier local authority,2020-02-03,0,0
"Bristol, City of",E06000023,Upper tier local authority,2020-02-03,0,0
Bromley,E09000006,Upper tier local authority,2020-02-03,0,0
Buckinghamshire,E10000002,Upper tier local authority,2020-02-03,0,0
Bury,E08000002,Upper tier local authority,2020-02-03,0,0
Calderdale,E08000033,Upper tier local authority,2020-02-03,0,0
Cambridgeshire,E10000003,Upper tier local authority,2020-02-03,0,0
Camden,E09000007,Upper tier local authority,2020-02-03,0,0
Central Bedfordshire,E06000056,Upper tier local authority,2020-02-03,0,0
Cheshire East,E06000049,Upper tier local authority,2020-02-03,0,0
Cheshire West and Chester,E06000050,Upper tier local authority,2020-02-03,0,0
City of London,E09000001,Upper tier local authority,2020-02-03,0,0
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-02-03,0,0
County Durham,E06000047,Upper tier local authority,2020-02-03,0,0
Coventry,E08000026,Upper tier local authority,2020-02-03,0,0
Croydon,E09000008,Upper tier local authority,2020-02-03,0,0
Cumbria,E10000006,Upper tier local authority,2020-02-03,0,0
Darlington,E06000005,Upper tier local authority,2020-02-03,0,0
Derby,E06000015,Upper tier local authority,2020-02-03,0,0
Derbyshire,E10000007,Upper tier local authority,2020-02-03,0,0
Devon,E10000008,Upper tier local authority,2020-02-03,2,2
Doncaster,E08000017,Upper tier local authority,2020-02-03,0,0
Dorset,E06000059,Upper tier local authority,2020-02-03,0,0
Dudley,E08000027,Upper tier local authority,2020-02-03,0,0
Ealing,E09000009,Upper tier local authority,2020-02-03,0,0
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-02-03,0,0
East Sussex,E10000011,Upper tier local authority,2020-02-03,0,0
Enfield,E09000010,Upper tier local authority,2020-02-03,0,0
Essex,E10000012,Upper tier local authority,2020-02-03,0,0
Gateshead,E08000037,Upper tier local authority,2020-02-03,0,0
Gloucestershire,E10000013,Upper tier local authority,2020-02-03,0,0
Greenwich,E09000011,Upper tier local authority,2020-02-03,0,0
Hackney,E09000012,Upper tier local authority,2020-02-03,0,0
Halton,E06000006,Upper tier local authority,2020-02-03,0,0
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-02-03,0,0
Hampshire,E10000014,Upper tier local authority,2020-02-03,0,0
Haringey,E09000014,Upper tier local authority,2020-02-03,0,0
Harrow,E09000015,Upper tier local authority,2020-02-03,0,0
Hartlepool,E06000001,Upper tier local authority,2020-02-03,0,0
Havering,E09000016,Upper tier local authority,2020-02-03,0,0
"Herefordshire, County of",E06000019,Upper tier local authority,2020-02-03,0,0
Hertfordshire,E10000015,Upper tier local authority,2020-02-03,1,1
Hillingdon,E09000017,Upper tier local authority,2020-02-03,0,0
Hounslow,E09000018,Upper tier local authority,2020-02-03,0,0
Isle of Wight,E06000046,Upper tier local authority,2020-02-03,0,0
Islington,E09000019,Upper tier local authority,2020-02-03,0,0
Kensington and Chelsea,E09000020,Upper tier local authority,2020-02-03,0,0
Kent,E10000016,Upper tier local authority,2020-02-03,1,2
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-02-03,0,0
Kingston upon Thames,E09000021,Upper tier local authority,2020-02-03,0,0
Kirklees,E08000034,Upper tier local authority,2020-02-03,0,0
Knowsley,E08000011,Upper tier local authority,2020-02-03,0,0
Lambeth,E09000022,Upper tier local authority,2020-02-03,0,0
Lancashire,E10000017,Upper tier local authority,2020-02-03,0,0
Leeds,E08000035,Upper tier local authority,2020-02-03,0,0
Leicester,E06000016,Upper tier local authority,2020-02-03,0,0
Leicestershire,E10000018,Upper tier local authority,2020-02-03,0,0
Lewisham,E09000023,Upper tier local authority,2020-02-03,0,0
Lincolnshire,E10000019,Upper tier local authority,2020-02-03,0,0
Liverpool,E08000012,Upper tier local authority,2020-02-03,0,0
Luton,E06000032,Upper tier local authority,2020-02-03,0,0
Manchester,E08000003,Upper tier local authority,2020-02-03,0,0
Medway,E06000035,Upper tier local authority,2020-02-03,0,0
Merton,E09000024,Upper tier local authority,2020-02-03,0,0
Middlesbrough,E06000002,Upper tier local authority,2020-02-03,0,0
Milton Keynes,E06000042,Upper tier local authority,2020-02-03,0,0
Newcastle upon Tyne,E08000021,Upper tier local authority,2020-02-03,0,0
Newham,E09000025,Upper tier local authority,2020-02-03,0,0
Norfolk,E10000020,Upper tier local authority,2020-02-03,0,0
North East Lincolnshire,E06000012,Upper tier local authority,2020-02-03,0,0
North Lincolnshire,E06000013,Upper tier local authority,2020-02-03,0,0
North Somerset,E06000024,Upper tier local authority,2020-02-03,0,0
North Tyneside,E08000022,Upper tier local authority,2020-02-03,0,0
North Yorkshire,E10000023,Upper tier local authority,2020-02-03,0,0
Northamptonshire,E10000021,Upper tier local authority,2020-02-03,0,0
Northumberland,E06000057,Upper tier local authority,2020-02-03,0,0
Nottingham,E06000018,Upper tier local authority,2020-02-03,0,0
Nottinghamshire,E10000024,Upper tier local authority,2020-02-03,0,0
Oldham,E08000004,Upper tier local authority,2020-02-03,0,0
Oxfordshire,E10000025,Upper tier local authority,2020-02-03,0,0
Peterborough,E06000031,Upper tier local authority,2020-02-03,0,0
Plymouth,E06000026,Upper tier local authority,2020-02-03,0,0
Portsmouth,E06000044,Upper tier local authority,2020-02-03,0,0
Reading,E06000038,Upper tier local authority,2020-02-03,0,0
Redbridge,E09000026,Upper tier local authority,2020-02-03,0,0
Redcar and Cleveland,E06000003,Upper tier local authority,2020-02-03,0,0
Richmond upon Thames,E09000027,Upper tier local authority,2020-02-03,0,0
Rochdale,E08000005,Upper tier local authority,2020-02-03,0,0
Rotherham,E08000018,Upper tier local authority,2020-02-03,0,0
Rutland,E06000017,Upper tier local authority,2020-02-03,0,0
Salford,E08000006,Upper tier local authority,2020-02-03,0,0
Sandwell,E08000028,Upper tier local authority,2020-02-03,0,0
Sefton,E08000014,Upper tier local authority,2020-02-03,0,0
Sheffield,E08000019,Upper tier local authority,2020-02-03,0,0
Shropshire,E06000051,Upper tier local authority,2020-02-03,0,0
Slough,E06000039,Upper tier local authority,2020-02-03,0,0
Solihull,E08000029,Upper tier local authority,2020-02-03,0,0
Somerset,E10000027,Upper tier local authority,2020-02-03,0,0
South Gloucestershire,E06000025,Upper tier local authority,2020-02-03,0,0
South Tyneside,E08000023,Upper tier local authority,2020-02-03,0,0
Southampton,E06000045,Upper tier local authority,2020-02-03,0,0
Southend-on-Sea,E06000033,Upper tier local authority,2020-02-03,0,0
Southwark,E09000028,Upper tier local authority,2020-02-03,0,0
St. Helens,E08000013,Upper tier local authority,2020-02-03,0,0
Staffordshire,E10000028,Upper tier local authority,2020-02-03,0,0
Stockport,E08000007,Upper tier local authority,2020-02-03,0,0
Stockton-on-Tees,E06000004,Upper tier local authority,2020-02-03,0,0
Stoke-on-Trent,E06000021,Upper tier local authority,2020-02-03,0,0
Suffolk,E10000029,Upper tier local authority,2020-02-03,0,0
Sunderland,E08000024,Upper tier local authority,2020-02-03,0,0
Surrey,E10000030,Upper tier local authority,2020-02-03,0,0
Sutton,E09000029,Upper tier local authority,2020-02-03,0,0
Swindon,E06000030,Upper tier local authority,2020-02-03,0,0
Tameside,E08000008,Upper tier local authority,2020-02-03,0,0
Telford and Wrekin,E06000020,Upper tier local authority,2020-02-03,0,0
Thurrock,E06000034,Upper tier local authority,2020-02-03,0,0
Torbay,E06000027,Upper tier local authority,2020-02-03,0,0
Tower Hamlets,E09000030,Upper tier local authority,2020-02-03,0,0
Trafford,E08000009,Upper tier local authority,2020-02-03,0,0
Wakefield,E08000036,Upper tier local authority,2020-02-03,0,0
Walsall,E08000030,Upper tier local authority,2020-02-03,0,0
Waltham Forest,E09000031,Upper tier local authority,2020-02-03,0,0
Wandsworth,E09000032,Upper tier local authority,2020-02-03,0,0
Warrington,E06000007,Upper tier local authority,2020-02-03,0,0
Warwickshire,E10000031,Upper tier local authority,2020-02-03,0,0
West Berkshire,E06000037,Upper tier local authority,2020-02-03,0,0
West Sussex,E10000032,Upper tier local authority,2020-02-03,0,0
Westminster,E09000033,Upper tier local authority,2020-02-03,0,0
Wigan,E08000010,Upper tier local authority,2020-02-03,0,0
Wiltshire,E06000054,Upper tier local authority,2020-02-03,0,0
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-02-03,0,0
Wirral,E08000015,Upper tier local authority,2020-02-03,0,0
Wokingham,E06000041,Upper tier local authority,2020-02-03,0,0
Wolverhampton,E08000031,Upper tier local authority,2020-02-03,0,0
Worcestershire,E10000034,Upper tier local authority,2020-02-03,0,0
York,E06000014,Upper tier local authority,2020-02-03,0,0
Barking and Dagenham,E09000002,Upper tier local authority,2020-02-08,0,0
Barnet,E09000003,Upper tier local authority,2020-02-08,0,0
Barnsley,E08000016,Upper tier local authority,2020-02-08,0,0
Bath and North East Somerset,E06000022,Upper tier local authority,2020-02-08,0,0
Bedford,E06000055,Upper tier local authority,2020-02-08,0,0
Bexley,E09000004,Upper tier local authority,2020-02-08,0,0
Birmingham,E08000025,Upper tier local authority,2020-02-08,0,0
Blackburn with Darwen,E06000008,Upper tier local authority,2020-02-08,0,0
Blackpool,E06000009,Upper tier local authority,2020-02-08,0,0
Bolton,E08000001,Upper tier local authority,2020-02-08,0,0
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-02-08,0,0
Bracknell Forest,E06000036,Upper tier local authority,2020-02-08,0,0
Bradford,E08000032,Upper tier local authority,2020-02-08,0,0
Brent,E09000005,Upper tier local authority,2020-02-08,0,0
Brighton and Hove,E06000043,Upper tier local authority,2020-02-08,1,1
"Bristol, City of",E06000023,Upper tier local authority,2020-02-08,0,0
Bromley,E09000006,Upper tier local authority,2020-02-08,0,0
Buckinghamshire,E10000002,Upper tier local authority,2020-02-08,0,0
Bury,E08000002,Upper tier local authority,2020-02-08,0,0
Calderdale,E08000033,Upper tier local authority,2020-02-08,0,0
Cambridgeshire,E10000003,Upper tier local authority,2020-02-08,0,0
Camden,E09000007,Upper tier local authority,2020-02-08,0,0
Central Bedfordshire,E06000056,Upper tier local authority,2020-02-08,0,0
Cheshire East,E06000049,Upper tier local authority,2020-02-08,0,0
Cheshire West and Chester,E06000050,Upper tier local authority,2020-02-08,0,0
City of London,E09000001,Upper tier local authority,2020-02-08,0,0
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-02-08,0,0
County Durham,E06000047,Upper tier local authority,2020-02-08,0,0
Coventry,E08000026,Upper tier local authority,2020-02-08,0,0
Croydon,E09000008,Upper tier local authority,2020-02-08,0,0
Cumbria,E10000006,Upper tier local authority,2020-02-08,0,0
Darlington,E06000005,Upper tier local authority,2020-02-08,0,0
Derby,E06000015,Upper tier local authority,2020-02-08,0,0
Derbyshire,E10000007,Upper tier local authority,2020-02-08,0,0
Devon,E10000008,Upper tier local authority,2020-02-08,0,0
Doncaster,E08000017,Upper tier local authority,2020-02-08,0,0
Dorset,E06000059,Upper tier local authority,2020-02-08,0,0
Dudley,E08000027,Upper tier local authority,2020-02-08,0,0
Ealing,E09000009,Upper tier local authority,2020-02-08,0,0
